iter	Passed	Remaining
0	136	136111
1	136	68307
2	139	46265
3	140	35015
4	141	28151
5	143	23723
6	145	20637
7	147	18236
8	147	16268
9	149	14849
10	152	13747
11	156	12901
12	159	12113
13	162	11413
14	164	10805
15	167	10304
16	169	9820
17	172	9402
18	174	9018
19	177	8675
20	179	8344
21	180	8039
22	182	7772
23	184	7507
24	186	7268
25	188	7049
26	189	6836
27	191	6636
28	192	6455
29	194	6293
30	196	6137
31	197	5980
32	199	5833
33	200	5688
34	201	5552
35	202	5423
36	203	5304
37	205	5190
38	206	5080
39	207	4972
40	208	4874
41	209	4781
42	210	4695
43	212	4607
44	213	4525
45	214	4441
46	215	4361
47	216	4287
48	217	4219
49	218	4147
50	219	4080
51	220	4012
52	220	3946
53	221	3883
54	222	3826
55	223	3771
56	224	3716
57	225	3661
58	226	3607
59	226	3555
60	227	3505
61	228	3458
62	229	3410
63	230	3365
64	230	3322
65	231	3277
66	232	3234
67	232	3188
68	233	3147
69	233	3107
70	234	3070
71	235	3034
72	236	2998
73	236	2963
74	237	2929
75	238	2895
76	238	2864
77	239	2832
78	240	2801
79	240	2771
80	241	2741
81	242	2710
82	242	2681
83	243	2652
84	243	2622
85	244	2595
86	244	2566
87	245	2541
88	245	2515
89	246	2489
90	246	2464
91	247	2439
92	247	2415
93	248	2392
94	248	2368
95	249	2346
96	249	2324
97	250	2301
98	250	2280
99	251	2259
100	251	2238
101	251	2216
102	252	2197
103	253	2179
104	253	2161
105	254	2143
106	254	2125
107	255	2107
108	255	2089
109	256	2071
110	256	2054
111	256	2037
112	257	2020
113	257	2004
114	258	1989
115	258	1972
116	259	1957
117	259	1942
118	260	1926
119	260	1911
120	261	1897
121	261	1883
122	261	1867
123	262	1853
124	262	1840
125	263	1826
126	263	1813
127	264	1799
128	264	1786
129	265	1774
130	265	1761
131	266	1749
132	266	1737
133	267	1725
134	267	1715
135	268	1705
136	269	1695
137	269	1684
138	270	1673
139	270	1661
140	271	1651
141	271	1640
142	272	1631
143	272	1621
144	273	1611
145	273	1602
146	274	1593
147	275	1583
148	275	1575
149	276	1566
150	277	1558
151	277	1549
152	278	1541
153	279	1534
154	279	1526
155	280	1517
156	281	1509
157	282	1503
158	282	1496
159	283	1489
160	284	1482
161	285	1475
162	285	1467
163	286	1460
164	287	1453
165	287	1446
166	288	1438
167	289	1431
168	289	1424
169	290	1417
170	290	1410
171	291	1402
172	292	1396
173	292	1389
174	293	1382
175	293	1376
176	294	1369
177	295	1363
178	295	1357
179	296	1350
180	296	1343
181	297	1336
182	298	1331
183	298	1325
184	299	1321
185	300	1315
186	301	1309
187	301	1303
188	302	1297
189	303	1292
190	303	1286
191	304	1280
192	304	1274
193	305	1269
194	306	1263
195	306	1258
196	307	1252
197	307	1246
198	308	1241
199	309	1236
200	309	1230
201	310	1225
202	310	1220
203	311	1215
204	312	1210
205	312	1206
206	313	1201
207	314	1197
208	314	1191
209	315	1186
210	316	1182
211	316	1177
212	317	1172
213	317	1167
214	318	1163
215	319	1158
216	319	1154
217	320	1149
218	321	1145
219	321	1140
220	322	1136
221	323	1131
222	323	1127
223	324	1123
224	324	1118
225	325	1115
226	326	1111
227	326	1107
228	327	1103
229	328	1099
230	329	1095
231	329	1091
232	330	1088
233	331	1084
234	331	1080
235	332	1076
236	333	1072
237	333	1068
238	334	1064
239	334	1060
240	335	1055
241	335	1052
242	336	1048
243	337	1044
244	337	1040
245	338	1037
246	339	1034
247	339	1030
248	340	1026
249	341	1023
250	341	1019
251	342	1016
252	343	1013
253	343	1009
254	344	1006
255	345	1002
256	345	999
257	346	996
258	347	992
259	347	989
260	348	986
261	348	982
262	349	979
263	350	975
264	350	972
265	351	969
266	351	965
267	352	962
268	352	959
269	353	955
270	354	952
271	354	949
272	355	946
273	355	942
274	356	939
275	357	936
276	357	933
277	358	930
278	359	928
279	359	925
280	360	922
281	361	919
282	361	916
283	362	914
284	363	911
285	363	908
286	364	905
287	365	902
288	365	900
289	366	897
290	367	894
291	367	892
292	368	889
293	369	886
294	369	883
295	370	881
296	371	878
297	371	875
298	372	872
299	372	869
300	373	866
301	373	864
302	374	861
303	375	858
304	375	855
305	376	853
306	376	850
307	377	847
308	377	844
309	378	842
310	378	839
311	379	836
312	380	834
313	380	831
314	381	828
315	381	826
316	382	823
317	382	820
318	383	818
319	383	815
320	384	813
321	384	810
322	385	807
323	385	805
324	386	802
325	386	800
326	387	797
327	388	795
328	388	792
329	389	790
330	389	788
331	390	785
332	391	783
333	391	781
334	392	778
335	392	776
336	393	773
337	393	771
338	394	769
339	394	766
340	395	764
341	395	761
342	396	759
343	396	756
344	397	754
345	397	752
346	398	749
347	398	747
348	399	744
349	399	742
350	400	740
351	400	737
352	401	735
353	401	733
354	402	730
355	402	728
356	403	726
357	404	724
358	404	722
359	405	720
360	405	717
361	406	715
362	406	713
363	406	711
364	407	708
365	407	706
366	408	704
367	408	702
368	409	699
